country,code,frenchCountry,score,title,category,type,,secteur,cible,coordX,coordY,logo,when,where,who,url,img,what
France,FR,France,20,Soft Power France Culture,Decryptage,Radio,7,Presse,Adultes,,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAEgAAABICAMAAABiM0N1AAAAnFBMVEV2K4QAAAD///95LIdAF0hEGUxuFH22trbQvdR1KINsDHvNu9FqAHq0lLtvGH7Ww9lxHn+MUpjk2OeGSZKfdqh/P4z48/nHs8xjAHS4mr69ocPz7fR+Ooudb6bErMmYaKLr4u2PWZqvjLY2AD+rhbOdiaGnqKaenp7f0OLe3t7Q0NBubm6DhYPy8vKTk5OZgp5CQkJjY2MtLS1XV1fA9aPIAAACy0lEQVRYhe3XbZOaMBAA4Li20Y2QrLwqIG/H3dHrXXu9/v//1g3oKdV29PRDZ8rOBBGSJ2RDUATsYy7FFTFCI/SvQuYqaLaPe7oGmuzjbnoj6NMIjdAIjdAIjdAIfQQi9edf9UsgCsqAUAhEgXbTFYGXQ05kQv6QvtACM4E6yyRqn/BCiFyAOoqatITAlBFkCUAuyzSt8DIINayXEPv1sjSmnEID7tJzofBaeRakdZdh7tXhlhAWkDPUKkhgo8I5JElN50DYVSQ13UExLMG0rYQg8gwUEJRzfQ5EAJ6y6clQx5vQZJlZ1K7r0rzyjfFV4+V0MtmI3SwgbrcdJHMAHpwk1IhKkdYaFaGURFJpcQrSWAQV1858n1v6fqgZ0pwKWPro+35/hgtVBZt+sBEnIVXb/7flUvHUBhQCtA5DRf+317FFLthc841gR9zaw4k8hsg6JUCk11vIHEIRRI6MGeKURdCuPICYvybHyaYIoFoFAO4AUsRNsmwAQdts2Fit4i59Q4i469RBkbjVEHI8W3sAtY7DiTNxzsMr6HeIr6VUApV8z1EPqWOoJtXu3hnqk5AjsCmy7oqyv0ABScPXglPu9mitIV8CTG2OEq7a2J09hMpCK5vhHiLubO2oTVpWwxzxK4TiTiKuCaLhHQM7yHZetiHPp8dlCyHauV9HUA7W2uMDv9Qget2gAy14/iBOd7MW2KNVY7fr/j4KeAFWthKk4WBo/WsWqk28cDMmw3zRqKbeUF1zG13l8zxUQZwvQ9fNqtr1uTVRE8eNHj7YABbdHUpa9ouNP7lmX7qv3IB4g0Rd6RYmH9g+xg+hlZI0vSBI7uMQStvWfL/7fHbc3c8X79FDs8fJ5OWlS/Pz5PyYHbzHdtBXeHg/9XQN9A1e3vpTP+HxGuiNd2bPP1751OwC5xjisdm4CDkNTV6fbgQx9fDlNtBH4j+BfgEHnT/0k9DAfAAAAABJRU5ErkJggg==",02/09/18,"Paris, France?? ",Fr?d?ric Martel,https://www.franceculture.fr/emissions/soft-power/soft-power-le-magazine-des-internets-du-dimanche-02-septembre-2018,https://cdn.radiofrance.fr/s3/cruiser-production/2018/09/bdd82195-e77c-414f-916f-ee57ee403b10/838_000_15r1xl.jpg,"Discussion avec différents journalistes autour du Fact Checking. Donne une bonne idée des techniques, des impacts et des risques. Accompagné sur le site de l'émission de nombreux sites de fact checking"
France,FR,France,20,Les idées claires France Culture,Decryptage,Radio,7,Actualité,Adultes,,,https://duckduckgo.com/i/d61ecb98.png,Aout 2018,France ,,https://www.franceculture.fr/emissions/les-idees-claires/saison-02-07-2018-26-08-2018,,
France,FR,France,20,Facebook,Decryptage,Site Internet,30,Actualité,Jeunes,,,https://duckduckgo.com/i/dee08793.png,2018,www,"Dans sa rubrique Help, facebook met ? disposition 10 conseils pour identifier une fausses nouvelles",https ://www.facebook.com/help/188118808357379,https://proxy.duckduckgo.com/iu/?u=https%3A%2F%2Fi1.wp.com%2Fdianebourque.com%2Fwp-content%2Fuploads%2F2010%2F07%2Ffacebook-10-conseils-diane-bourque.jpg%3Ffit%3D700%252C364%26ssl%3D1&f=1,"On ne pourra pas dire qu'il ne font pas d'effort. Dans la lignée de la demande de collaboration avec des journalistes reconnus, comme Libération ou Le Monde. Facebook tente de se refaire une image."
France,FR,France,20,Blog Les crises,Decryptage,Site Internet,30,Politique,Adultes,,,https://www.les-crises.fr/wp-content/themes/lescrises_v3/images/logo.png,Depuis 2011,France ,Olivier Berruyer,https://www.les-crises.fr/,https://www.les-crises.fr/wp-content/uploads/2018/08/eu-disinfolab-03.jpg,"Les Crises, blog spécialisé dans l'économie et la géopolitique, propose un d?cryptage complet d'information qui font polémique. Il se veulent à la recherche de la Vérité entre la propagande des grands médias aboutissant à la ""fabrication du consentement"" et les délires conspirationnistes du web."
United States of America,US,Etats-Unis,7,Poynter,Decryptage,Site Internet,30,Actualité,Jeunes/Adultes,,,https://ifcncodeofprinciples.poynter.org/images/ifcn-logo-long.svg,2018,"St Petersburg, USA",International Fact Checking Network Un label de v?rification de l'information,https ://www.poynter.org/international-fact-checking-network-fact-checkers-code-principles,https://ifcncodeofprinciples.poynter.org/images/xcode-of-principles-first-year.jpg.pagespeed.ic.At9LfT1kZT.jpg,"Poynter est un prestigieux organisme de formation des journaliste. Il a créé le IFCN International Fact Checking Network, il s'agit de labelliser les fact checkers du monde entier selon une liste de principes."
United States of America,US,Etats-Unis,7,First Draft News,Decryptage,Site Internet,30,Actualité,Adultes,,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAOEAAADhCAMAAAAJbSJIAAAAt1BMVEX///8aGRkAAAARDw+7u7sUExPy8vKHhoZUU1MYFxf4+Pjr6+vU1NSLioo8OzsIBQV+fn7c3NxOTU0yMTHExMSzs7N1dXUhHx/MzMxeXFynpqYqKSmbmpra2dmura14d3dqampFRETk5OSenp43NjZqKjItICJkY2MmJCSRkJC9MEEDFhVtbGzWR1jAv7/KCSbZHTb96u3TOEzJABfIABqagoReLDK7IzbBT1/XESz88PLhOlBkFSE0/6QhAAALUElEQVR4nO2ceZuqOBaHJTEoSBnXUnAr0JnSHqe6b8/eM9//cw1JwOzYVa0X7vOc968qCEl+ZjvnJNDrAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJ0mHE2T9TrZFaP4O5X47R+vHq6ZSLEdSMLqqf5k4GS7Xxeht+pxcnkb5nOCED6f8nSyL9SkiSdPncVnBf723/8h6ga9imrNkGRUPTZAfqJ079a3L3OimJAoCKKIYFymHV+mt/v7hjwl208K/Pbrf/70l8ANPYiKDfHt0k3hC/I8VBJRdFpa7RhnG4SttBjhdF2lWDbkKWvwSYXf/vr3Xx6ukFWcvu/0kooUEc/vgd+TpyksBf78FIVBhDaJJnDufyBC0Uv4HIXffv3bz09SWD59HsmSwrwxPUH59BkKv/1SCnyawgClt7EYv99Lzir+cIW//ftfPzH++SSFATrWRR3vpabD3hMULuifOf5i/6BCPK9WgmJuT6J6yvPuKQpRuSqVsOci7KBeD+8pjEhNZNTmxfFzEIooXxZl4ojyBXSJCHFmFSnXP6nwVuo8dTDc/i6FZD6uYcaK2jQnkXyjrBPoNNn3+9kgPcm0SHSWvsxoPJ7LZ8hGvZ59SSGaNKS7pxD1Zdrp/k1tL8RNrDWWDYIuMt/9EFF2h87CnoXSZeuu8GmeoZBNmzQw6qZUFueqmHj9jmk5QtY9G1XhoFMKeyOlf2E2RZb25u0CfTcy/xgiOeX+IAp7E9mIeGwojAIjcS98mTlL7bLCzFSYKUOToGtiGOVuX6vLCo8NbciMUDK8JH4X8kkK6bUopjbxlxQqUw3mPXBBtXWydK6C/JAtmn38ByuMVnMHwe4rChfK2kCv7Ep4Nv2mqHR+6TgdLEY9Hw9WWI4PB+grCqcrZc1HYnk+OM0xUsrcHBaelny4Qhe/V+F2vajob1OiCIyIyKHY+OzS0ggaHx3rfbcUKlCE1SFHh1UDbRuKwij/6LzCqMbMoLYh47emsrDLmu6WQg9UmmijcVP6yCHxh1CIlNDmKPcEoiqJyx9RoV6xcDvXB6kGCYofTiFBqTFHFpccU59Iy6p6tELsDC8nX1YYUTyxF7rRx7X0e6kZCuAPIKMRH6wQp30Hy/CrCjEauny+knBxfJ+Xv6fVlqab2yXLOwjMlYKMPfoqiv4ljZBureK0wwqJCFzJCpONIxfj39H+baVEAwzvv1sK0TZhbFV71HLbi9Q2spOrIhHneoJOKRSWd5jLZGRl2ppXlBtbNUYunW7DvlUnq1Klm4/RxZpdd6rCzrdhL5zJdFGgtdiUORcRypdG0yoWOR7q+ruoUGtE4fvWOVQbM+Uikin72vE+MJ3ljitUR2KEFaNUhqIoOqfZYr0rRrt1/52qsXAjlt1Jhb2+aiXltwymqpKIInZOYcPiGPJqOTcZc203FfbG6opxO64wU6UImfYmzsUotaMK+4oWMq+mlSYHvwZvzOWlowp7udqIlVs7ua8wMiOS3VWoTqdkU7kLhybn11d+VxWqaWXN+nPk9X15wqvtaXVVod6Iq/rASfGy8rcjRoc7+4edUhjP1EaUq3hyWDlORPHo9zxzBYUfo1CeYDs0KZwhubUvFcpr2iyxlDcwRUokdDcYlwuhukqUawZF+dYd2Vfy+bLCJH2reW/aHI+vsxs38/iYy2v6acF0piTXNkTD9TZl5xJr8Hn+vvZtz3yMZS6fPazXKvHuY58dLy/bbP+RmPE1AAAAAAAeQWjuTCySaeHcRa9I7M2Mxa7hfYqaYsnTemP7O9c2iSxCyaKJxM44UWxGTmnvn/PXzGs6TcwH2CPn/Lq9Y4288efoeeq5f7HzVY618kM4x6YkIt3Vzjgx3bSIvdiBUDDL3FWeWBGWQDyxuTRp3FV7GFbwRSr0uVJBfczo7sHpgL66FLrTMhfm4uqtDoUCgjbWvrSkjszg3NM5nqxQOfEsQ14EYcerPEKh3kuj+gHvudZwXHu7yHWO5KaQfKKXVuLv91ImcJ4Oa/INYUeuqyq/Wz2PKySzoWR2CqqNP8fpggrhvPLTv6k7BVcY5UMnM942S/3uimW50tM5xgBXSCdxWMNelMsOs0ojf63DUhjhtXwgDIvd+lVs/JGVZyLhh2dWG/b+FnUPV64QL9R8VVgS4x47lktOI+2aYwhwhXbvivcbEUWhG8Pf5gqpNSuvh7yV0JtzmE1XhG3p8sHoPv8rFNLmjWIdrnB8d5kSCh0xgXAbiDobG0Aehb24kmhFORkDXspyxCZuccDU4qsKm9Zujldh+cOnos76TZ/C3oi/I0JTx48asltkPhLnTN1zTRsKq6NnEdWaxauwt6d8MnHc4tszLHj3wf9wTOktKezFPCKPx+pQ9CsUqV3DLOVNVz4T88ZcueaadhT21gExJyK/QlFJR5x1yocf31oTA9IVKGtJoTBFtMNJDQr7nj4olHPrYcp+Mqdd05ZCsRGvNmKDQs8oC09sx56KqvChTR1zTVsKxWsDEZH5fF4hb9r6zZi9+o9Kawq55aCucg0K+d68vRugLRGjE3HbNa0prEqWDdOgUEyZpmm4I5E69F48c017CnkCIhcMv8I1s6wjYlZSTJ833Qm33OfWXNOewpC/C4lup338CnkTmie1RDdXLXLR0taHHoRCZ9/w8CiFPb5ViG4/rleh8HGtBZ/7Tarfxi+Yh4Fq3yJbO1m4dDxM4VVYzfW/PoUZD4fo9g9DLDeK3xiyUJBxBKxW6DmYXB9NfpLCiVyvbwqxXr84/hCehd37+EE8rNXDGJiaQg/PVXiw2zDA270km6TzKqZgO5oTe+pMcORo7BYVOtqw/F8DiyBMhKwIBX8/NkJak4tDANQIeAiFkRPyPdrQUOiCooG1BvBpxTyvLSyDN4fCaOXmuQr5uWRp1LgVsoBpai9msVgajOYqeMNGekhHzKVtrIfVZKitFqy96g7KBa7G6cB8l5fBX7u3zz9PHIW2t+KPAm5Iait+QK4HwYRHOkheuANCA3fuvFC80Z5pT+FaSNCtNnwbFyNh8ri/AlV1R6vaYq7R4zXtKeQTDZUOg7ni87mEuDdcMtc8w+A+FNJ8qNYUFvzNF2Uht2wa7tMiV4hNHLyk131mIt5eR+rP0ppCXjBRhoylsBAepCMAtRb7WsT+KFplH6h2TVsKp2ez+rZdyrucK57vfl9bovkhbSm8itor2dgKq0XPikzwWbgRNUDeksLM9ogcvgWPFlrrevVlCEcfvfVTNV7TjsKEsFagM3UWcXlPRzFY9eBLPBQesfsDjCk2unYrChO+E0ECrVinf8hfOTCibGsxX3q+2licsD7XtKAw3ovPHhhRI6dC/uGLSHcXJmII+wo+iHa//f/9FSapsDnNHUG3j38Qdpji81WLiO9gQtnEkTbXPFmh6biG0zdUOe25ccutMMxZn1R3sDPfGlIhZmBp8DxXIT0Uu5r1Mru85oHwkQh6N+MunjhN35xPhT3jCG7XiKn2tiXyXIXRanNjxYJBuPomXWAfOPFFog76fCo+V0adO8KCymavu89zFSrfolFewMZ05nCtfQqLFa/wazVqX8VS4f+cTj0V1fGaZyu0IAgNnbvR3nhp1etEPw3FP955RhZdzzVPVGh9R4i9FIHGE09hE/aAM26Ssjt0zvvpkf2NI8ebzAo5ZVlVXsmF5/sphbgs4nRX4e5sfAnqlM+Gr1ni7V4D9sDGpTA5sefPbA84TjfsT8e7SypHXvZJ5LX15usjL8vYuL4+qBObH/MqRnFjvUbKJ78Mqm+D3XLd3SldS9WQr4eiLg0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAOA+/wfL2PIT0xsJqAAAAABJRU5ErkJggg==",Depuis 2015,USA,First Draft : r?seaux sociaux et titres de presse s'engagent contre les fausses informations,https://firstdraftnews.org/,https://cdn2.nextinpact.com/compress/900-435/images/bd/wide-linked-media/10509.jpg,"Organisation regroupant de nombreux groupe de presse su monde entier afin de lutter contre la désinformation. Parmi les partenaire on compte Le Monde, Libération, Le Figaro et l'AFP."
France,FR,France,20,Cross Check,Decryptage,Site Internet,30,Politique,Adultes,,,https://crosscheck.firstdraftnews.org/wp-content/themes/fd-crosscheck/images/crosscheck-logo.svg,Depuis 2017,France ,"Collaboration de Journalistes, d?pend du projet FirstDraft cr?? par Neuf organisations dont Google News Lab https://firstdraftnews.org/about/",https ://crosscheck.firstdraftnews.com/france-fr/,https://crosscheck.firstdraftnews.org/wp-content/uploads/2017/05/CaptureOreillette.png,"CrossCheck est un projet de journalisme collaboratif qui réunit des rédactions de toute la France et de l'étranger pour traiter avec précision les affirmations fausses, trompeuses ou prétant à confusion qui circulent en ligne."
France,FR,France,20,France 24 Observers,Decryptage,Site Internet,30,Actualité,Adultes,,,https://proxy.duckduckgo.com/iu/?u=http%3A%2F%2Fgraphics.france24.com%2Ffrance24-turns-8%2Fimg%2Fslide8.png&f=1,,France ,Le site de Fact Checking de France 24,https://observers.france24.com/fr/20181203-france-gilets-jaunes-videos-policiers-casseurs-manifestation-discrediter,,Les journalistes de France 24 décrypte les informations. Les commentaires des internautes montrent le scepticisme de ces analyses. Ex: Les CRS casseurs lors de la manifestation des gilets jaunes: https://observers.france24.com/fr/20181203-france-gilets-jaunes-videos-policiers-casseurs-manifestation-discrediter
France,FR,France,20,AgoraVox,Decryptage,Site Internet,30,Actualité,Adultes,,,https://www.agoravox.fr/local/cache-vignettes/L335xH95/siteon0-e5814.png,28/02/17,France ,"AgoraVox, est un m?dia 100% citoyen et 100% participatif. ",https://www.agoravox.fr/tribune-libre/article/fake-news-ou-fausses-nouvelles-190181,https://www.agoravox.fr/local/cache-vignettes/L450xH292/arton209446-6c12d.jpg,"Media Citoyen, un articles intéressant sur les Fakenews. En revanche les discussions qui suivent les articles sombrent vite dans le règlement de compte sans beaucoup d'intérêt"
France,FR,France,20,Next Impact,Decryptage,Site Internet,30,Technique,Jeunes/Adultes,,,https://www.nextinpact.com/images/common/logo-next.svg,?19/10/2017,"Nancy, France?? ","?Entreprise, Site d'actualit?s High-tech depuis plus de 18 ans ",https://www.nextinpact.com/brief/creer-une-fake-news-sur-facebook--c-est-aussi-simple-que-de-depenser-50---691.htm,https://cdn2.nextinpact.com/images/bd/wide-linked-media/1930.jpg,Agence de presse. Remonte quelques articles intéressant sur le décryptage des Fakenews et les sites de Fact Checking.
France,FR,France,20,Hoaxbuster,Decryptage,Site Internet,30,Actualité,,,,http://www.hoaxbuster.com/sites/default/files/logo.png,2018,France ,"Association, cr??e en 2000, HoaxBuster.com poursuit un objectif : mettre un terme ? la propagation des hoax et des rumeurs en circulation sur le web francophone !
",http://www.hoaxbuster.com/,http://www.hoaxbuster.com/sites/default/files/2018-01-19_15h16_24.png,"Kit de survie 2.0
http://www.hoaxbuster.com/kit-de-survie-20"
Mexico,MX,Mexique,3,Video Youtube ,Decryptage,Video,7,Politique,Jeunes,,,,28/03/18,Mexico ,"A student movement, #YoSoy132 ",https://www.youtube.com/watch?v=gI6fE75Bnc4 ,https://i.ytimg.com/vi/gI6fE75Bnc4/maxresdefault.jpg ,Dans cette vidéo un étudiant du groupe YoSoy#132 explique comment les politiques mexicains ont corrompu les médias.
France,FR,France,20,Comment créer une Fake News en 2mn,Decryptage,Video,7,Technique,Jeunes/Adultes,,,https://yt3.ggpht.com/a-/AN66SAxRFmMrK4TILpFN4l47EPHp_mn0bAL-R2APww=s288-mo-c-c0xffffffff-rj-k-no,2018,"Paris, France?? ",MBA MCI,https://www.youtube.com/watch?v=7aBZlYwkYRI,https://mbamci.com/wp-content/uploads/2018/11/Ce-que-les-influencers-oublient-de-vous-dire-sur-instagram-400x225.jpg ,Communication pour leur centre de formation
Belgique,BE,Belgique,1,Desinfolab,Dénonciation,Site Internet,3,Politique,,,,https://media.licdn.com/dms/image/C560BAQHPAdzh6D2GEA/company-logo_200_200/0?e=1550102400&v=beta&t=-LKBC0ASVN1nAk41okt5YDgqXzXm4mwLfwq0IQleiug,Depuis 2017,"?Brussel, Belgium","?ONG, Associations et organisations sociales et syndicales Brussels, Brussels. Our mission ? to fight disinformation with innovative methodology and scientific support to the counter-disinformation community.",www.disinfo.eu/,http://disinfo.eu/wp-content/uploads/2017/12/frenchelection.jpg,"Organisation non gouvernementale qui a pour objectif de lutter contre les fausses informations. Elle s'est rendu célèbre lors de l'affaire Benalla, en publiant une enquête douteuse sur les utilisateurs de Tweeters. Cette ONG travaille de nombreux bénévoles. Les procédés ont été largement remis en question notamment concernant le fichage des comptes tweeter."
France,FR,France,20,Henry 4 School,Humoristique,Site Internet,3,Politique,,,,https://lyc-henri4.scola.ac-paris.fr/templates/rhuk_milkyway/images/henri_iv_logo.png,17/02/17,France ,Les ?l?ves du Lyc?e Henry IV ? Paris.,http://www.henry4school.fr/Media/press/fake-news.htm,http://www.henry4school.fr/Media/images/press/dear-santap.jpg,"Travaux d'étudiants, les fake news sous de dessins humoristiques"
United States of America,US,Etats-Unis,7,Breaking Game,Humour,Game ,6,Actualité,Adultes,,,http://www.fakenewsgame.com/content/img/header-fn-logo.png,09/02/17,"New Jersey, USA","Editeur de jeu, https://breakinggames.com/",http://www.fakenewsgame.com/,http://www.fakenewsgame.com/content/img/common-fake-news-game.png,"Les Fake News, les créateurs de ce jeu ont décidé d'en rire. Il s'agit d'un de carte, le but est de créer des Fake News, et de faire monter l'audience"
France,FR,France,20,Fake News Live ,Humour,Game ,6,Actualité,Jeunes,,,https://yt3.ggpht.com/a-/AN66SAxEa_OAqIjYUw-XzSsYl81dZnsG74_Cz4s1Iw=s288-mo-c-c0xffffffff-rj-k-no ,08/09/18,France ,"Aymeric d\""Afflon",https://fnewslive.com/,https://img.ulule.com/display/9a38694139805aaf5aaa3e396b61defe2980a4b6/thumbnail/640x360/presales/3/3/8/75833/fnews_banniere_ulule_big.yrFd8V3mLbZW.jpg?upscale=1 ,"Jeu de 54 cartes dont le but est de présenter les titres de l'actualité Vrai ou Faux, jeu d'improvisation et de bluff. La version Serious Game exige un niveau de qualité avec la possibilité de vérifier les information sur le web."
France,FR,France,20,AgoraVox,Satirique,Forum,2,RS,Adultes,,,https://www.agoravox.fr/local/cache-vignettes/L335xH95/siteon0-e5814.png,28/02/17,France ,"AgoraVox, est un m?dia 100% citoyen et 100% participatif. ",https://www.agoravox.fr/tribune-libre/article/fake-news-ou-fausses-nouvelles-190181,https://www.agoravox.fr/local/cache-vignettes/L450xH292/arton209482-bb247.jpg,"Media Citoyen, un articles intéressant sur les Fakenews. En revanche les discussions qui suivent les articles sombrent vite dans le règlement de compte sans beaucoup d'intérêt"
United States of America,US,Etats-Unis,7,Play Fake News,Satirique,Game ,5,Actualité,Jeunes/Adultes,,,https://playfakenews.com/static/img/fakenews-logo.e0cd2c012a51.svg,2017,"Washington, USA","Agence web ISL, https://isl.co/team/",https://playfakenews.com/,https://playfakenews.com/static/img/galleryimg3.31e95c5d96ed.jpg,Un jeu très simple ou il faut détecter le vrai du faux. L'objectif pédagogique est nul puisque seul les titres des informations sont présentes. Reste a voir le cote Fun. Pas très convainquant.
